1_x	1_y
-147.778010	-121.941340
-149.306578	-123.469845
-151.089907	-124.998349
-152.873237	-126.781605
-154.147043	-128.564860
-155.930372	-129.074362
-156.439895	-131.876620
-158.732747	-132.386121
-160.516076	-134.424128
-161.535121	-135.443131
-163.318450	-137.735887
-164.592257	-138.500140
-166.630347	-140.283395
-167.394631	-142.066650
-170.706528	-143.595155
-170.961289	-145.378410
-173.254141	-145.633161
-174.273186	-149.199672
-176.056516	-149.199672
-174.018425	-149.454422
-172.235096	-146.652164
-170.706528	-145.633161
-168.668438	-144.104656
-166.630347	-141.811900
-164.082734	-139.773894
-163.063689	-138.754890
-160.516076	-136.462134
-160.006553	-135.697881
-157.204179	-133.405125
-156.439895	-130.857617
-153.382759	-130.857617
-153.127998	-127.545857
-150.580385	-127.036356
-148.797056	-123.979346
-147.013727	-122.960343
-145.485159	-121.177088
-143.701830	-119.648584
-141.154216	-117.610577
-140.644694	-115.317821
-138.606603	-115.063070
-137.078036	-112.006061
-135.039945	-112.260812
-133.511377	-109.458553
-131.473287	-108.439550
-129.944719	-106.656295
-128.161390	-105.127790
-126.123299	-102.580283
-125.613777	-101.816030
-122.811402	-99.523274
-122.047118	-97.994769
-118.989983	-95.956763
-118.989983	-94.173508
-115.932847	-92.645003
-114.913802	-89.842745
-112.620950	-89.842745
-111.601905	-86.785736
-109.309053	-85.257231
-108.035247	-83.728726
-107.270963	-82.454973
-104.213827	-81.181219
-103.959066	-79.397964
-100.647169	-78.633711
-100.647169	-76.086204
-97.590033	-74.557699
-97.335272	-72.264942
-94.787659	-71.245939
-93.259091	-68.188930
-91.475762	-67.424678
-89.947194	-65.386672
-88.163865	-63.603416
-86.125774	-62.329663
-86.125774	-60.291657
-82.559116	-59.272654
-82.304355	-57.744149
-79.756741	-57.234648
-80.011503	-54.687140
-76.444844	-55.196641
-75.425799	-52.394383
-73.897231	-52.903885
-72.623425	-51.120629
-70.585334	-49.846875
-69.056767	-48.063620
-67.528199	-47.299368
-65.744870	-45.261362
-64.216302	-43.987608
-62.942495	-41.949602
-61.923450	-40.166347
-59.121076	-38.637842
-58.102030	-37.109338
-55.809179	-36.599836
-55.554417	-33.033325
-53.006804	-33.797578
-51.987759	-30.231067
-49.949668	-31.250070
-48.675862	-28.702562
-46.637771	-28.193061
-45.363965	-27.174058
-43.835397	-26.155055
-42.052068	-25.645553
-41.542545	-24.626550
-38.740171	-25.390803
-37.721126	-23.352797
-35.937797	-23.862298
-34.663990	-22.588544
-32.880661	-22.333793
-31.606854	-20.295787
-30.078287	-20.041037
-28.549719	-17.493529
-26.511628	-16.984028
-25.492583	-15.200772
-24.728299	-12.908015
-21.925925	-11.379511
-21.416402	-9.596256
-18.614028	-7.558249
-18.359266	-5.265493
-15.556892	-5.010742
-14.537847	-1.953733
-12.754518	-2.208483
-11.480711	0.593775
-9.952143	0.593775
-8.168814	1.612778
-6.385485	2.122279
-4.602156	2.631781
-4.092633	2.886532
-1.799781	3.141282
-1.545020	3.905535
1.512116	2.122279
2.021638	3.650784
4.059729	2.122279
5.333535	3.650784
6.862103	2.377030
8.645432	3.650784
9.919239	3.650784
12.212091	4.669787
12.212091	5.179289
15.269226	5.688790
15.269226	6.962544
18.326362	7.981547
18.581123	11.038556
20.619214	11.038556
22.147781	14.605067
23.931111	14.859817
26.223962	17.916826
26.478724	19.954833
29.026337	20.719085
29.281098	23.266592
31.828711	24.285595
32.592995	27.087854
34.376324	27.597355
35.650131	29.380611
37.688221	28.871109
38.707266	31.163866
40.745357	30.399614
41.764402	31.163866
42.528686	31.673367
45.076299	31.673367
45.840583	32.437620
