Time	UI (ID 01) / Voltage U	UI (ID 01) / Current I	UI (ID 02) / Voltage U	UI (ID 02) / Current I
t/s	U/V	I/A	U/V	I/A

1.38	0.0750525400	0.005	0.0598802400	0.002
1.38	0.0900630500	-0.001	0.0598802400	-0.001
1.38	0.0750525400	-0.001	0.0598802400	0.002
1.39	0.0750525400	-0.001	0.0598802400	0.002
1.39	0.0750525400	-0.001	0.0598802400	-0.001
1.40	0.0750525400	-0.001	0.0598802400	-0.001
1.40	0.0750525400	-0.001	0.0449101800	-0.001
1.41	0.0600420300	-0.001	0.0449101800	-0.004
1.41	0.0600420300	-0.001	0.0449101800	-0.004
1.42	0.0600420300	-0.001	0.0449101800	-0.004
1.42	0.0600420300	-0.001	0.0449101800	-0.001
1.43	0.0600420300	-0.001	0.0449101800	0.002
1.43	0.0600420300	0.002	0.0449101800	0.002
1.44	0.0600420300	0.002	0.0299401200	-0.001
1.45	0.0600420300	-0.001	0.0449101800	0.002
1.45	0.0450315300	0.002	0.0449101800	0.002
1.46	0.0600420300	0.002	0.0299401200	0.002
1.46	0.0450315300	-0.001	0.0299401200	-0.001
1.47	0.0450315300	-0.001	0.0149700600	-0.004
1.47	0.0450315300	-0.001	0.0149700600	-0.001
1.48	0.0450315300	-0.001	0.0299401200	-0.004
1.48	0.0450315300	0.002	0.0149700600	-0.004
1.49	0.0300210200	0.002	0.0149700600	0.002
1.49	0.0450315300	-0.001	0.0149700600	-0.004
1.50	0.0300210200	-0.001	0.0149700600	0.002
1.50	0.0300210200	0.002	0.0000000000	0.002
1.50	0.0300210200	-0.001	0.0000000000	0.002
1.51	0.0150105100	-0.001	0.0000000000	-0.001
1.51	0.0300210200	-0.001	0.0299401200	-0.007
1.52	0.0150105100	-0.001	0.0000000000	-0.001
1.52	0.0150105100	-0.001	0.0000000000	-0.001
1.53	0.0150105100	-0.001	0.0000000000	-0.004
1.53	0.0000000000	-0.001	-0.0149700600	-0.004
1.54	0.0150105100	-0.001	-0.0149700600	-0.001
1.54	0.0150105100	-0.001	-0.0149700600	0.002
1.55	0.0000000000	-0.001	-0.0149700600	-0.001
1.55	0.0000000000	-0.001	-0.0149700600	-0.001
1.56	0.0000000000	-0.001	-0.0299401200	0.002
1.57	0.0000000000	-0.001	-0.0149700600	-0.001
1.57	0.0000000000	-0.001	-0.0149700600	-0.001
1.58	0.0000000000	-0.001	-0.0299401200	-0.001
1.58	-0.0150105100	-0.001	-0.0299401200	-0.004
1.59	-0.0150105100	-0.001	-0.0449101800	-0.004
1.59	-0.0150105100	0.002	-0.0299401200	-0.001
1.60	-0.0300210200	-0.001	-0.0449101800	-0.001
1.60	-0.0300210200	-0.001	-0.0449101800	0.002
1.61	-0.0300210200	-0.001	-0.0449101800	0.002
1.61	-0.0300210200	-0.001	-0.0449101800	-0.001
1.62	-0.0300210200	-0.001	-0.0449101800	0.002
1.62	-0.0300210200	0.002	-0.0449101800	0.002
1.63	-0.0300210200	-0.001	-0.0449101800	-0.001
1.63	-0.0450315300	-0.004	-0.0598802400	-0.001
1.63	-0.0300210200	0.002	-0.0449101800	-0.004
1.64	-0.0450315300	-0.001	-0.0449101800	-0.001
1.64	-0.0450315300	-0.001	-0.0598802400	-0.001
1.65	-0.0450315300	0.002	-0.0748503000	-0.004
1.65	-0.0600420300	-0.001	-0.0748503000	-0.001
1.66	-0.0450315300	-0.001	-0.0598802400	0.002
1.66	-0.0450315300	0.002	-0.0748503000	0.002
1.67	-0.0600420300	-0.001	-0.0748503000	0.002
1.67	-0.0600420300	-0.001	-0.0748503000	-0.001
1.68	-0.0600420300	0.002	-0.0898203600	-0.001
1.68	-0.0600420300	-0.001	-0.0748503000	-0.004
1.69	-0.0600420300	-0.001	-0.0748503000	-0.001
1.70	-0.0750525400	0.002	-0.0898203600	-0.001
1.70	-0.0750525400	-0.001	-0.0898203600	-0.001
1.71	-0.0750525400	-0.001	-0.1047904000	-0.004
1.71	-0.0750525400	0.002	-0.0898203600	-0.001
1.72	-0.0750525400	-0.001	-0.0898203600	0.002
1.72	-0.0750525400	-0.001	-0.0898203600	0.002
1.73	-0.0900630500	-0.001	-0.0898203600	0.002
1.73	-0.0750525400	-0.001	-0.1047904000	0.002
1.74	-0.0750525400	-0.001	-0.0898203600	0.002
1.74	-0.0900630500	-0.001	-0.1047904000	-0.001
1.75	-0.0900630500	-0.001	-0.1047904000	-0.004
1.75	-0.1050736000	-0.001	-0.1047904000	-0.004
1.75	-0.0900630500	-0.001	-0.0898203600	-0.001
1.76	-0.0900630500	-0.001	-0.1047904000	-0.001
1.76	-0.1050736000	-0.004	-0.1047904000	-0.001
1.77	-0.0900630500	-0.001	-0.1047904000	0.002
1.77	-0.1050736000	-0.001	-0.1197605000	-0.001
1.78	-0.1050736000	-0.001	-0.1047904000	-0.001
1.78	-0.1050736000	-0.001	-0.1047904000	0.002
1.79	-0.1050736000	-0.001	-0.1197605000	0.002
1.79	-0.1050736000	-0.001	-0.1197605000	0.002
1.80	-0.1200841000	-0.001	-0.1347305000	-0.004
1.80	-0.1050736000	0.002	-0.1197605000	-0.004
1.81	-0.1050736000	-0.001	-0.1197605000	-0.001
1.82	-0.1050736000	-0.001	-0.1197605000	-0.001
1.82	-0.1200841000	-0.001	-0.1347305000	-0.001
1.83	-0.1350946000	-0.001	-0.1347305000	-0.004
